"Browser","Developer","Layout engine","Platform","Version","Date","License","Cost (USD)"
"Amaya (discontinued)","W3C, INRIA","Custom","Linux","11.4.4[1]","2012-01-18","W3C","No cost"
"Amaya (discontinued)","W3C, INRIA","Custom","macOS","11.4.4[1]","2012-01-18","W3C","No cost"
"Amaya (discontinued)","W3C, INRIA","Custom","Windows","11.4.4[1]","2012-01-18","W3C","No cost"
"AOL Explorer (discontinued)","America Online, Inc","Trident","Windows","1.5[2]","2006-05","Proprietary","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","BSD","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","Linux","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","Haiku","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","macOS","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","OS/2","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Arora (discontinued)","Benjamin C. Meyer","WebKit","Windows","0.11.0[3]","2010-09-27","GPL-2.0-or-later","No cost"
"Avast Secure Browser","Avast Software","Blink","Android","8.15.0[4]","2025-08-18","Proprietary","No cost"
"Avast Secure Browser","Avast Software","Blink","iOS","4.9.0[5]","2022-10-25","Proprietary","No cost"
"Avast Secure Browser","Avast Software","Blink","macOS","118.0[6]","2023-10-31","Proprietary","No cost"
"Avast Secure Browser","Avast Software","Blink","Windows","119.0[7]","2023-11-13","Proprietary","No cost"
"Basilisk","Basilisk-Dev","Goanna","Linux","2026.06.12[8]","2026-06-14","MPL-2.0","No cost"
"Basilisk","Basilisk-Dev","Goanna","macOS","2026.06.12[8]","2026-06-14","MPL-2.0","No cost"
"Basilisk","Basilisk-Dev","Goanna","Windows","2026.06.12[8]","2026-06-14","MPL-2.0","No cost"
"Brave","Brave Software Inc.","Blink","Android","1.95.101[9]","2026-09-11","MPL-2.0","No cost"
"Brave","Brave Software Inc.","Blink","iOS","1.95.101[9]","2026-09-11","MPL-2.0","No cost"
"Brave","Brave Software Inc.","Blink","Linux","1.95.101[9]","2026-09-11","MPL-2.0","No cost"
"Brave","Brave Software Inc.","Blink","macOS","1.95.101[9]","2026-09-11","MPL-2.0","No cost"
"Brave","Brave Software Inc.","Blink","Windows","1.95.101[9]","2026-09-11","MPL-2.0","No cost"
"Camino (discontinued)","The Camino Project","Gecko","macOS","2.1.2[10]","2012-03-14","Tri-license[a]","No cost"
"Chrome","Google","Blink","Android","153.0.8010.36[11]","2026-09-08","Proprietary[b]","No cost"
"Chrome","Google","Blink","iOS","153.0.8010.24[13]","2026-09-01","Proprietary[b]","No cost"
"Chrome","Google","Blink","Linux","153.0.8010.36[14]","2026-09-08","Proprietary[b]","No cost"
"Chrome","Google","Blink","macOS","153.0.8010.37[15]","2026-09-08","Proprietary[b]","No cost"
"Chrome","Google","Blink","Windows","153.0.8010.37[15]","2026-09-08","Proprietary[b]","No cost"
"Chromium","The Chromium Project","Blink","","(built nightly)","","BSD","No cost"
"Cliqz (discontinued)","Cliqz GmbH","Gecko","Android","1.10.1[16]","2021-06-14","MPL-2.0","No cost"
"Cliqz (discontinued)","Cliqz GmbH","Gecko","iOS","3.7.2[17]","2021-06-10","MPL-2.0","No cost"
"Cliqz (discontinued)","Cliqz GmbH","Gecko","macOS","1.38.0[18]","2020-07-22","MPL-2.0","No cost"
"Cliqz (discontinued)","Cliqz GmbH","Gecko","Windows","1.38.0[18]","2020-07-22","MPL-2.0","No cost"
"Comodo Dragon","Comodo Group","Blink","Windows","131.0.6778.109[19]","2024-12-23","Proprietary","No cost"
"Comodo IceDragon (discontinued)","Comodo Group","Gecko","Windows","65.0.2.15[20]","2019-06-19","Proprietary","No cost"
"Dillo","The Dillo team","Custom","BSD","3.3.0[21]","2026-04-26","GPL-3.0-or-later","No cost"
"Dillo","The Dillo team","Custom","Linux","3.3.0[21]","2026-04-26","GPL-3.0-or-later","No cost"
"Dillo","The Dillo team","Custom","macOS","3.3.0[21]","2026-04-26","GPL-3.0-or-later","No cost"
